tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,6215641
Pthreads,1,1000000,5000,15596042
Pthreads,1,1000000,10000,31066660
Pthreads,2,500000,2000,3252002
Pthreads,2,500000,5000,8164687
Pthreads,2,500000,10000,16156287
Pthreads,4,250000,2000,2496588
Pthreads,4,250000,5000,6248320
Pthreads,4,250000,10000,12487091
Pthreads,8,125000,2000,2481327
Pthreads,8,125000,5000,6208677
Pthreads,8,125000,10000,12558228
